Time,Month,Day,Hour,APS,ATSI,COMED,DOM,AE,PS,PECO,JCPL,DPL,RECO,PENLC,BGE,PEPCO,METED,PL,AEP,DAY,DLCO,DEOK,EKPC,OVEC
4317,6,180,22,5760.820371,8141.723216,14297.17911,13737.00809,1682.619507,6251.991096,5158.707621,3782.547772,2491.430091,245.8167145,1958.427824,4620.272596,4210.241772,1951.61553,4770.511736,14433.11204,2115.900285,1800.602178,3439.590632,1395.999375,57.4078791
4318,6,180,23,5518.457806,7678.940555,13217.72741,13234.1219,1589.509561,5906.029011,4873.243804,3573.235555,2353.563556,232.2141259,1891.797717,4363.191672,3975.975759,1869.411428,4569.572757,13677.75008,2005.163904,1706.367034,3259.578455,1322.93926,54.4034177
4319,6,180,24,5316.98366,7441.597015,12469.24679,12914.46306,1515.732013,5631.898959,4647.050777,3407.382789,2244.32222,221.4358398,1849.472584,4191.742143,3819.741693,1790.626145,4376.990708,13138.96653,1926.17801,1639.151119,3131.179615,1270.827041,52.26039956
4320,6,181,1,5183.4422,7308.514152,11836.74194,12716.42599,1473.543294,5475.141299,4517.705273,3312.542069,2181.854001,215.2724188,1817.239918,4067.034447,3706.10131,1749.240017,4275.826823,12869.77589,1886.714549,1605.568254,3067.028127,1244.790386,51.18969051
4321,6,181,2,5148.615628,7204.703837,11402.11166,12674.50835,1457.09163,5414.013007,4467.266464,3275.558541,2157.494263,212.8689675,1811.219045,4046.485196,3687.375723,1738.489267,4249.547785,12753.94045,1869.733024,1591.117209,3039.423096,1233.586551,50.72895362
4322,6,181,3,5124.284957,7161.427209,11114.73858,12656.6502,1461.88696,5431.830675,4481.968363,3286.338496,2164.594637,213.5695253,1831.38212,4043.477012,3684.634504,1759.068438,4299.851328,12532.89574,1837.327777,1563.540788,2986.745385,1212.206666,49.8497456
4323,6,181,4,5285.948846,7404.537661,10923.26943,13013.10457,1520.391633,5649.212379,4661.336605,3417.857666,2251.22165,222.1165714,1907.249815,4199.004913,3826.359921,1836.997019,4490.339263,13133.06546,1925.31291,1638.414932,3129.773316,1270.256278,52.23692798
4324,6,181,5,5719.498258,8085.580989,11185.53166,13629.68033,1630.412793,6058.010275,4998.648157,3665.186484,2414.128373,238.1897478,2038.750961,4554.066266,4149.910992,1966.534189,4806.978774,14442.34072,2117.253213,1801.753502,3441.789941,1396.891991,57.44458628
4325,6,181,6,6276.404013,9030.254051,12039.07498,14410.69767,1755.850159,6524.089083,5383.223929,3947.171108,2599.861646,256.5151036,2206.600075,4954.998651,4515.262221,2130.245391,5207.152987,16126.48661,2364.149707,2011.859039,3843.142914,1559.78594,64.14329709
4326,6,181,7,6757.744577,9882.866454,13159.37996,15192.09836,1897.238999,7049.437664,5816.704989,4265.014828,2809.214033,277.1708371,2350.902739,5309.017721,4837.863507,2284.998708,5585.430627,17744.56564,2601.360773,2213.722408,4228.751331,1716.28977,70.57922616
4327,6,181,8,7145.6102,10562.44751,14433.3409,15786.48845,2032.62864,7552.495443,6231.793232,4569.37228,3009.683495,296.9501376,2450.61793,5576.755898,5081.840984,2417.649323,5909.680618,19028.07559,2789.52387,2373.846628,4534.62776,1840.433411,75.68440262
4328,6,181,9,7409.233493,11085.15144,15611.93111,16161.31351,2141.244847,7956.073051,6564.797366,4813.542746,3170.509923,312.8180619,2463.987803,5782.173563,5269.028648,2498.229036,6106.648955,19868.68906,2912.758158,2478.71732,4734.956437,1921.739223,79.02795296
